data,mes,dia_semana,maquina,tipo_maquina,turno,operador,producao,capacidade_maxima,tempo_parado_min,motivo_parada,temperatura_celsius,eficiencia,status,producao_normalizada,mes_num
2025-01-17,January 2025,Friday,M3,Prensa Hidráulica,Noite,Pedro Santos,149.0,140,0.0,Sem parada,90.9,1.0,Ótimo,0.3776223776223776,1
2025-05-29,May 2025,Thursday,M5,Solda Robotica,Tarde,João Pereira,112.0,120,0.0,Sem parada,74.2,0.9333333333333333,Ótimo,0.11888111888111888,5
2025-01-21,January 2025,Tuesday,M1,Torno CNC,Noite,João Pereira,168.0,160,0.0,Sem parada,81.8,1.0,Ótimo,0.5104895104895105,1
2025-02-25,February 2025,Tuesday,M3,Prensa Hidráulica,Noite,Ana Souza,128.0,140,0.0,Sem parada,88.9,0.9142857142857143,Ótimo,0.23076923076923078,2
2025-01-23,January 2025,Thursday,M3,Prensa Hidráulica,Tarde,Pedro Santos,157.0,140,0.0,Sem parada,92.7,1.0,Ótimo,0.43356643356643354,1
2025-04-03,April 2025,Thursday,M2,Fresadora,Manhã,Ana Souza,190.0,180,0.0,Sem parada,87.6,1.0,Ótimo,0.6643356643356644,4
2025-05-05,May 2025,Monday,M4,Injetora,Noite,Ana Souza,209.0,200,0.0,Sem parada,90.3,1.0,Ótimo,0.7972027972027972,5
2025-05-08,May 2025,Thursday,M2,Fresadora,Manhã,Maria Lima,175.0,180,0.0,Sem parada,86.7,0.9722222222222222,Ótimo,0.5594405594405595,5
2025-02-20,February 2025,Thursday,M2,Fresadora,Tarde,João Pereira,176.0,180,0.0,Sem parada,84.0,0.9777777777777777,Ótimo,0.5664335664335665,2
2025-03-20,March 2025,Thursday,M2,Fresadora,Noite,João Pereira,188.0,180,0.0,Sem parada,82.6,1.0,Ótimo,0.6503496503496503,3
2025-06-05,June 2025,Thursday,M1,Torno CNC,Noite,Carlos Silva,177.0,160,0.0,Sem parada,68.3,1.0,Ótimo,0.5734265734265734,6
2025-01-27,January 2025,Monday,M2,Fresadora,Noite,Pedro Santos,181.0,180,0.0,Sem parada,84.2,1.0,Ótimo,0.6013986013986014,1
2025-04-07,April 2025,Monday,M3,Prensa Hidráulica,Tarde,João Pereira,124.0,140,0.0,Sem parada,85.9,0.8857142857142857,Ótimo,0.20279720279720279,4
2025-06-26,June 2025,Thursday,M2,Fresadora,Tarde,Ana Souza,182.0,180,0.0,Sem parada,91.5,1.0,Ótimo,0.6083916083916084,6
2025-05-15,May 2025,Thursday,M4,Injetora,Manhã,Pedro Santos,195.0,200,0.0,Sem parada,96.4,0.975,Ótimo,0.6993006993006993,5
2025-05-16,May 2025,Friday,M1,Torno CNC,Tarde,Pedro Santos,150.0,160,0.0,Sem parada,78.8,0.9375,Ótimo,0.38461538461538464,5
2025-06-24,June 2025,Tuesday,M1,Torno CNC,Noite,Pedro Santos,152.0,160,0.0,Sem parada,117.85,0.95,Ótimo,0.3986013986013986,6
2025-05-06,May 2025,Tuesday,M1,Torno CNC,Manhã,Pedro Santos,151.0,160,0.0,Sem parada,77.9,0.94375,Ótimo,0.3916083916083916,5
2025-06-17,June 2025,Tuesday,M3,Prensa Hidráulica,Tarde,Pedro Santos,140.0,140,0.0,Sem parada,83.5,1.0,Ótimo,0.3146853146853147,6
2025-02-13,February 2025,Thursday,M3,Prensa Hidráulica,Manhã,Maria Lima,147.0,140,0.0,Sem parada,89.5,1.0,Ótimo,0.36363636363636365,2
2025-04-23,April 2025,Wednesday,M1,Torno CNC,Tarde,João Pereira,153.0,160,0.0,Sem parada,73.6,0.95625,Ótimo,0.40559440559440557,4
2025-02-12,February 2025,Wednesday,M2,Fresadora,Manhã,Pedro Santos,160.0,180,0.0,Sem parada,88.7,0.8888888888888888,Ótimo,0.45454545454545453,2
2025-06-24,June 2025,Tuesday,M2,Fresadora,Manhã,João Pereira,187.0,180,0.0,Sem parada,90.3,1.0,Ótimo,0.6433566433566433,6
2025-01-07,January 2025,Tuesday,M4,Injetora,Tarde,Maria Lima,203.0,200,0.0,Sem parada,101.5,1.0,Ótimo,0.7552447552447552,1
2025-06-18,June 2025,Wednesday,M5,Solda Robotica,Tarde,Maria Lima,111.0,120,0.0,Sem parada,73.8,0.925,Ótimo,0.11188811188811189,6
2025-02-27,February 2025,Thursday,M2,Fresadora,Manhã,Carlos Silva,204.0,180,0.0,Sem parada,82.2,1.0,Ótimo,0.7622377622377622,2
2025-04-03,April 2025,Thursday,M4,Injetora,Tarde,Carlos Silva,189.0,200,0.0,Sem parada,94.3,0.945,Ótimo,0.6573426573426573,4
2025-05-09,May 2025,Friday,M3,Prensa Hidráulica,Manhã,Ana Souza,138.0,140,0.0,Sem parada,82.3,0.9857142857142858,Ótimo,0.3006993006993007,5
2025-06-10,June 2025,Tuesday,M3,Prensa Hidráulica,Manhã,Carlos Silva,145.0,140,0.0,Sem parada,89.5,1.0,Ótimo,0.34965034965034963,6
2025-02-26,February 2025,Wednesday,M5,Solda Robotica,Noite,Maria Lima,129.0,120,0.0,Sem parada,81.1,1.0,Ótimo,0.23776223776223776,2
2025-06-05,June 2025,Thursday,M4,Injetora,Noite,Maria Lima,197.0,200,0.0,Sem parada,95.4,0.985,Ótimo,0.7132867132867133,6
2025-04-24,April 2025,Thursday,M5,Solda Robotica,Tarde,Maria Lima,114.0,120,0.0,Sem parada,71.2,0.95,Ótimo,0.13286713286713286,4
2025-01-28,January 2025,Tuesday,M5,Solda Robotica,Tarde,Maria Lima,117.0,120,0.0,Sem parada,65.1,0.975,Ótimo,0.15384615384615385,1
2025-01-07,January 2025,Tuesday,M2,Fresadora,Noite,Ana Souza,157.0,180,0.0,Sem parada,85.3,0.8722222222222222,Ótimo,0.43356643356643354,1
2025-04-02,April 2025,Wednesday,M2,Fresadora,Manhã,Ana Souza,149.0,180,0.0,Sem parada,100.7,0.8277777777777777,Normal,0.3776223776223776,4
2025-04-29,April 2025,Tuesday,M1,Torno CNC,Noite,Ana Souza,171.0,160,0.0,Sem parada,77.4,1.0,Ótimo,0.5314685314685315,4
2025-02-27,February 2025,Thursday,M2,Fresadora,Noite,Pedro Santos,174.0,180,0.0,Sem parada,84.0,0.9666666666666667,Ótimo,0.5524475524475524,2
2025-01-13,January 2025,Monday,M1,Torno CNC,Manhã,João Pereira,149.0,160,0.0,Sem parada,74.4,0.93125,Ótimo,0.3776223776223776,1
2025-01-02,January 2025,Thursday,M5,Solda Robotica,Noite,Carlos Silva,108.0,120,59.0,Falha mecânica,74.9,0.9,Ótimo,0.09090909090909091,1
2025-01-14,January 2025,Tuesday,M1,Torno CNC,Manhã,Maria Lima,157.0,160,56.0,Falta de insumo,67.8,0.98125,Ótimo,0.43356643356643354,1
2025-05-12,May 2025,Monday,M2,Fresadora,Tarde,Carlos Silva,174.0,180,0.0,Sem parada,86.5,0.9666666666666667,Ótimo,0.5524475524475524,5
2025-05-30,May 2025,Friday,M4,Injetora,Tarde,Carlos Silva,193.0,200,0.0,Sem parada,84.9,0.965,Ótimo,0.6853146853146853,5
2025-05-22,May 2025,Thursday,M1,Torno CNC,Tarde,Ana Souza,165.0,160,0.0,Sem parada,70.1,1.0,Ótimo,0.48951048951048953,5
2025-02-24,February 2025,Monday,M1,Torno CNC,Manhã,Pedro Santos,156.0,160,0.0,Sem parada,81.9,0.975,Ótimo,0.42657342657342656,2
2025-06-24,June 2025,Tuesday,M3,Prensa Hidráulica,Manhã,Ana Souza,117.0,140,0.0,Sem parada,90.7,0.8357142857142857,Normal,0.15384615384615385,6
2025-05-29,May 2025,Thursday,M4,Injetora,Noite,Ana Souza,203.0,200,0.0,Sem parada,101.4,1.0,Ótimo,0.7552447552447552,5
2025-01-31,January 2025,Friday,M5,Solda Robotica,Manhã,Maria Lima,108.0,120,0.0,Sem parada,73.6,0.9,Ótimo,0.09090909090909091,1
2025-03-27,March 2025,Thursday,M3,Prensa Hidráulica,Noite,Carlos Silva,154.0,140,0.0,Sem parada,85.7,1.0,Ótimo,0.4125874125874126,3
2025-01-30,January 2025,Thursday,M4,Injetora,Manhã,Pedro Santos,196.0,200,0.0,Sem parada,98.5,0.98,Ótimo,0.7062937062937062,1
2025-05-13,May 2025,Tuesday,M5,Solda Robotica,Noite,Pedro Santos,114.0,120,0.0,Sem parada,67.3,0.95,Ótimo,0.13286713286713286,5
2025-05-09,May 2025,Friday,M4,Injetora,Noite,Maria Lima,180.0,200,0.0,Sem parada,89.8,0.9,Ótimo,0.5944055944055944,5
2025-02-25,February 2025,Tuesday,M5,Solda Robotica,Noite,Carlos Silva,122.0,120,0.0,Sem parada,76.8,1.0,Ótimo,0.1888111888111888,2
2025-02-17,February 2025,Monday,M5,Solda Robotica,Manhã,João Pereira,136.0,120,0.0,Sem parada,71.0,1.0,Ótimo,0.2867132867132867,2
2025-05-21,May 2025,Wednesday,M3,Prensa Hidráulica,Manhã,Carlos Silva,125.0,140,0.0,Sem parada,83.0,0.8928571428571429,Ótimo,0.2097902097902098,5
2025-05-01,May 2025,Thursday,M4,Injetora,Noite,Ana Souza,189.0,200,0.0,Sem parada,89.1,0.945,Ótimo,0.6573426573426573,5
2025-03-25,March 2025,Tuesday,M1,Torno CNC,Noite,João Pereira,150.0,160,0.0,Sem parada,68.4,0.9375,Ótimo,0.38461538461538464,3
2025-05-23,May 2025,Friday,M3,Prensa Hidráulica,Manhã,Pedro Santos,142.0,140,0.0,Sem parada,98.2,1.0,Ótimo,0.32867132867132864,5
2025-02-05,February 2025,Wednesday,M3,Prensa Hidráulica,Tarde,Pedro Santos,152.0,140,0.0,Sem parada,86.5,1.0,Ótimo,0.3986013986013986,2
2025-03-07,March 2025,Friday,M2,Fresadora,Noite,João Pereira,187.0,180,0.0,Sem parada,90.4,1.0,Ótimo,0.6433566433566433,3
2025-04-04,April 2025,Friday,M2,Fresadora,Noite,Pedro Santos,180.0,180,0.0,Sem parada,86.4,1.0,Ótimo,0.5944055944055944,4
2025-05-22,May 2025,Thursday,M2,Fresadora,Manhã,Maria Lima,175.0,180,0.0,Sem parada,85.9,0.9722222222222222,Ótimo,0.5594405594405595,5
2025-02-28,February 2025,Friday,M3,Prensa Hidráulica,Tarde,Pedro Santos,153.0,140,0.0,Sem parada,90.7,1.0,Ótimo,0.40559440559440557,2
2025-03-10,March 2025,Monday,M1,Torno CNC,Tarde,Maria Lima,159.0,160,8.0,Falta de insumo,68.5,0.99375,Ótimo,0.44755244755244755,3
2025-04-01,April 2025,Tuesday,M1,Torno CNC,Noite,Pedro Santos,186.0,160,0.0,Sem parada,70.4,1.0,Ótimo,0.6363636363636364,4
2025-02-19,February 2025,Wednesday,M4,Injetora,Manhã,João Pereira,192.0,200,0.0,Sem parada,96.7,0.96,Ótimo,0.6783216783216783,2
2025-06-11,June 2025,Wednesday,M2,Fresadora,Tarde,João Pereira,180.0,180,0.0,Sem parada,79.1,1.0,Ótimo,0.5944055944055944,6
2025-05-14,May 2025,Wednesday,M4,Injetora,Tarde,Carlos Silva,189.0,200,0.0,Sem parada,97.3,0.945,Ótimo,0.6573426573426573,5
2025-04-15,April 2025,Tuesday,M1,Torno CNC,Tarde,Ana Souza,169.0,160,0.0,Sem parada,74.1,1.0,Ótimo,0.5174825174825175,4
2025-05-26,May 2025,Monday,M5,Solda Robotica,Manhã,João Pereira,123.0,120,0.0,Sem parada,71.3,1.0,Ótimo,0.1958041958041958,5
2025-02-10,February 2025,Monday,M3,Prensa Hidráulica,Manhã,Carlos Silva,132.0,140,0.0,Sem parada,95.9,0.9428571428571428,Ótimo,0.25874125874125875,2
2025-05-12,May 2025,Monday,M5,Solda Robotica,Manhã,Pedro Santos,137.0,120,0.0,Sem parada,74.1,1.0,Ótimo,0.2937062937062937,5
2025-06-25,June 2025,Wednesday,M4,Injetora,Tarde,Maria Lima,216.0,200,0.0,Sem parada,92.5,1.0,Ótimo,0.8461538461538461,6
2025-01-10,January 2025,Friday,M2,Fresadora,Tarde,Ana Souza,173.0,180,0.0,Sem parada,85.4,0.9611111111111111,Ótimo,0.5454545454545454,1
2025-05-20,May 2025,Tuesday,M2,Fresadora,Tarde,Maria Lima,187.0,180,0.0,Sem parada,86.0,1.0,Ótimo,0.6433566433566433,5
2025-04-29,April 2025,Tuesday,M4,Injetora,Tarde,Ana Souza,188.0,200,0.0,Sem parada,88.7,0.94,Ótimo,0.6503496503496503,4
2025-05-12,May 2025,Monday,M1,Torno CNC,Manhã,João Pereira,167.0,160,0.0,Sem parada,72.2,1.0,Ótimo,0.5034965034965035,5
2025-04-18,April 2025,Friday,M4,Injetora,Tarde,Ana Souza,195.0,200,0.0,Sem parada,94.6,0.975,Ótimo,0.6993006993006993,4
2025-02-18,February 2025,Tuesday,M3,Prensa Hidráulica,Noite,Maria Lima,126.0,140,0.0,Sem parada,82.7,0.9,Ótimo,0.21678321678321677,2
2025-01-13,January 2025,Monday,M3,Prensa Hidráulica,Noite,João Pereira,154.0,140,0.0,Sem parada,86.5,1.0,Ótimo,0.4125874125874126,1
2025-05-26,May 2025,Monday,M5,Solda Robotica,Noite,João Pereira,130.0,120,0.0,Sem parada,78.3,1.0,Ótimo,0.24475524475524477,5
2025-04-25,April 2025,Friday,M2,Fresadora,Manhã,Ana Souza,169.0,180,0.0,Sem parada,85.2,0.9388888888888889,Ótimo,0.5174825174825175,4
2025-05-09,May 2025,Friday,M3,Prensa Hidráulica,Tarde,João Pereira,134.0,140,0.0,Sem parada,88.6,0.9571428571428572,Ótimo,0.2727272727272727,5
2025-02-17,February 2025,Monday,M1,Torno CNC,Manhã,João Pereira,162.0,160,0.0,Sem parada,64.8,1.0,Ótimo,0.46853146853146854,2
2025-04-09,April 2025,Wednesday,M5,Solda Robotica,Tarde,Ana Souza,108.0,120,0.0,Sem parada,75.6,0.9,Ótimo,0.09090909090909091,4
2025-06-02,June 2025,Monday,M3,Prensa Hidráulica,Manhã,Ana Souza,147.0,140,0.0,Sem parada,95.3,1.0,Ótimo,0.36363636363636365,6
2025-06-13,June 2025,Friday,M3,Prensa Hidráulica,Manhã,Pedro Santos,129.0,140,0.0,Sem parada,98.1,0.9214285714285714,Ótimo,0.23776223776223776,6
2025-05-21,May 2025,Wednesday,M5,Solda Robotica,Noite,Carlos Silva,115.0,120,0.0,Sem parada,70.2,0.9583333333333334,Ótimo,0.13986013986013987,5
2025-01-22,January 2025,Wednesday,M5,Solda Robotica,Manhã,Maria Lima,135.0,120,0.0,Sem parada,68.8,1.0,Ótimo,0.27972027972027974,1
2025-01-30,January 2025,Thursday,M1,Torno CNC,Tarde,Maria Lima,157.0,160,0.0,Sem parada,72.9,0.98125,Ótimo,0.43356643356643354,1
2025-06-26,June 2025,Thursday,M4,Injetora,Noite,Ana Souza,180.0,200,0.0,Sem parada,95.8,0.9,Ótimo,0.5944055944055944,6
2025-02-03,February 2025,Monday,M4,Injetora,Manhã,Maria Lima,166.0,200,0.0,Sem parada,103.5,0.83,Normal,0.4965034965034965,2
2025-02-10,February 2025,Monday,M1,Torno CNC,Manhã,João Pereira,159.0,160,0.0,Sem parada,78.4,0.99375,Ótimo,0.44755244755244755,2
2025-06-04,June 2025,Wednesday,M3,Prensa Hidráulica,Tarde,João Pereira,135.0,140,0.0,Sem parada,92.1,0.9642857142857143,Ótimo,0.27972027972027974,6
2025-02-04,February 2025,Tuesday,M3,Prensa Hidráulica,Manhã,Ana Souza,144.0,140,0.0,Sem parada,81.5,1.0,Ótimo,0.34265734265734266,2
2025-02-12,February 2025,Wednesday,M1,Torno CNC,Manhã,Carlos Silva,158.0,160,19.0,Falha mecânica,73.0,0.9875,Ótimo,0.4405594405594406,2
2025-06-30,June 2025,Monday,M2,Fresadora,Noite,Carlos Silva,172.0,180,0.0,Sem parada,87.5,0.9555555555555556,Ótimo,0.5384615384615384,6
2025-05-14,May 2025,Wednesday,M4,Injetora,Noite,Pedro Santos,166.0,200,0.0,Sem parada,92.1,0.83,Normal,0.4965034965034965,5
2025-02-27,February 2025,Thursday,M5,Solda Robotica,Tarde,Carlos Silva,134.0,120,6.0,Falha mecânica,47.849999999999994,1.0,Ótimo,0.2727272727272727,2
2025-03-11,March 2025,Tuesday,M1,Torno CNC,Tarde,Ana Souza,158.0,160,0.0,Sem parada,75.1,0.9875,Ótimo,0.4405594405594406,3
2025-05-05,May 2025,Monday,M5,Solda Robotica,Noite,Pedro Santos,119.0,120,0.0,Sem parada,73.1,0.9916666666666667,Ótimo,0.16783216783216784,5
2025-04-09,April 2025,Wednesday,M2,Fresadora,Manhã,Ana Souza,167.0,180,0.0,Sem parada,88.2,0.9277777777777778,Ótimo,0.5034965034965035,4
2025-02-03,February 2025,Monday,M3,Prensa Hidráulica,Tarde,Ana Souza,122.0,140,0.0,Sem parada,93.0,0.8714285714285714,Ótimo,0.1888111888111888,2
2025-05-14,May 2025,Wednesday,M3,Prensa Hidráulica,Noite,Carlos Silva,130.0,140,0.0,Sem parada,85.6,0.9285714285714286,Ótimo,0.24475524475524477,5
2025-03-27,March 2025,Thursday,M1,Torno CNC,Tarde,Carlos Silva,172.0,160,0.0,Sem parada,76.4,1.0,Ótimo,0.5384615384615384,3
2025-05-06,May 2025,Tuesday,M3,Prensa Hidráulica,Tarde,João Pereira,143.0,140,0.0,Sem parada,91.6,1.0,Ótimo,0.3356643356643357,5
2025-06-17,June 2025,Tuesday,M5,Solda Robotica,Tarde,Não informado,110.0,120,0.0,Sem parada,75.0,0.9166666666666666,Ótimo,0.1048951048951049,6
2025-01-22,January 2025,Wednesday,M3,Prensa Hidráulica,Manhã,Carlos Silva,132.0,140,0.0,Sem parada,91.1,0.9428571428571428,Ótimo,0.25874125874125875,1
2025-04-25,April 2025,Friday,M1,Torno CNC,Tarde,Pedro Santos,166.0,160,0.0,Sem parada,68.8,1.0,Ótimo,0.4965034965034965,4
2025-06-23,June 2025,Monday,M4,Injetora,Tarde,Ana Souza,177.0,200,0.0,Sem parada,88.4,0.885,Ótimo,0.5734265734265734,6
2025-01-29,January 2025,Wednesday,M2,Fresadora,Noite,Ana Souza,189.0,180,0.0,Sem parada,84.7,1.0,Ótimo,0.6573426573426573,1
2025-04-23,April 2025,Wednesday,M3,Prensa Hidráulica,Noite,Pedro Santos,146.0,140,0.0,Sem parada,91.7,1.0,Ótimo,0.35664335664335667,4
2025-03-05,March 2025,Wednesday,M2,Fresadora,Manhã,Pedro Santos,172.0,180,0.0,Sem parada,87.0,0.9555555555555556,Ótimo,0.5384615384615384,3
2025-05-08,May 2025,Thursday,M5,Solda Robotica,Noite,João Pereira,109.0,120,0.0,Sem parada,73.1,0.9083333333333333,Ótimo,0.0979020979020979,5
2025-01-02,January 2025,Thursday,M3,Prensa Hidráulica,Noite,Carlos Silva,134.0,140,0.0,Sem parada,95.3,0.9571428571428572,Ótimo,0.2727272727272727,1
2025-02-12,February 2025,Wednesday,M5,Solda Robotica,Manhã,Pedro Santos,131.0,120,0.0,Sem parada,62.4,1.0,Ótimo,0.2517482517482518,2
2025-01-07,January 2025,Tuesday,M2,Fresadora,Manhã,Maria Lima,165.0,180,0.0,Sem parada,82.2,0.9166666666666666,Ótimo,0.48951048951048953,1
2025-02-10,February 2025,Monday,M3,Prensa Hidráulica,Tarde,Carlos Silva,155.0,140,0.0,Sem parada,87.1,1.0,Ótimo,0.4195804195804196,2
2025-02-20,February 2025,Thursday,M2,Fresadora,Manhã,Não informado,192.0,180,5.0,Falha mecânica,86.2,1.0,Ótimo,0.6783216783216783,2
2025-03-21,March 2025,Friday,M4,Injetora,Tarde,João Pereira,196.0,200,0.0,Sem parada,93.3,0.98,Ótimo,0.7062937062937062,3
2025-03-10,March 2025,Monday,M5,Solda Robotica,Tarde,João Pereira,136.0,120,0.0,Sem parada,72.0,1.0,Ótimo,0.2867132867132867,3
2025-05-26,May 2025,Monday,M2,Fresadora,Manhã,Pedro Santos,195.0,180,0.0,Sem parada,117.85,1.0,Ótimo,0.6993006993006993,5
2025-01-28,January 2025,Tuesday,M2,Fresadora,Tarde,Maria Lima,158.0,180,0.0,Sem parada,90.7,0.8777777777777778,Ótimo,0.4405594405594406,1
2025-03-28,March 2025,Friday,M5,Solda Robotica,Tarde,Maria Lima,112.0,120,0.0,Sem parada,72.1,0.9333333333333333,Ótimo,0.11888111888111888,3
