data,mes,dia_semana,maquina,tipo_maquina,turno,operador,producao,capacidade_maxima,tempo_parado_min,motivo_parada,temperatura_celsius
06/02/2025,February 2025,Thursday,M2,Fresadora,Tarde,Carlos Silva,177.0,180,5,Setup de máquina,76.7
13/03/2025,March 2025,Thursday,M5,Solda Robotica,Manhã,Ana Souza,106.0,120,45,Manutenção preventiva,71.8
09/01/2025,January 2025,Thursday,M4,Injetora,Manhã,Pedro Santos,200.0,200,0,Sem parada,89.3
09/04/2025,April 2025,Wednesday,M3,Prensa Hidráulica,Tarde,Ana Souza,148.0,140,0,Sem parada,87.4
04/02/2025,February 2025,Tuesday,M3,Prensa Hidráulica,Tarde,Carlos Silva,151.0,140,0,Sem parada,132.4
23/01/2025,January 2025,Thursday,M4,Injetora,Noite,Ana Souza,177.0,200,0,Sem parada,97.8
07/05/2025,May 2025,Wednesday,M5,Solda Robotica,Noite,Ana Souza,112.0,120,0,Sem parada,67.6
23/01/2025,January 2025,Thursday,M5,Solda Robotica,Noite,João Pereira,120.0,120,0,Sem parada,65.8
25/04/2025,April 2025,Friday,M5,Solda Robotica,Noite,João Pereira,120.0,120,0,Sem parada,60.4
20/05/2025,May 2025,Tuesday,M4,Injetora,Manhã,Ana Souza,181.0,200,0,Sem parada,107.1
16/04/2025,April 2025,Wednesday,M3,Prensa Hidráulica,Tarde,Carlos Silva,147.0,140,0,Sem parada,96.0
03/02/2025,February 2025,Monday,M2,Fresadora,Noite,Maria Lima,172.0,180,0,Sem parada,90.2
22/01/2025,January 2025,Wednesday,M3,Prensa Hidráulica,Noite,Pedro Santos,146.0,140,0,Sem parada,93.8
17/06/2025,June 2025,Tuesday,M4,Injetora,Manhã,Pedro Santos,219.0,200,0,Sem parada,93.0
06/05/2025,May 2025,Tuesday,M5,Solda Robotica,Manhã,Maria Lima,123.0,120,0,Sem parada,77.2
26/05/2025,May 2025,Monday,M1,Torno CNC,Noite,Carlos Silva,148.0,160,0,Sem parada,81.4
28/01/2025,January 2025,Tuesday,M5,Solda Robotica,Manhã,Carlos Silva,129.0,120,0,Sem parada,67.4
02/06/2025,June 2025,Monday,M3,Prensa Hidráulica,Noite,Ana Souza,130.0,140,0,Sem parada,86.4
04/03/2025,March 2025,Tuesday,M5,Solda Robotica,Noite,Ana Souza,106.0,120,0,Sem parada,68.9
17/03/2025,March 2025,Monday,M3,Prensa Hidráulica,Tarde,Maria Lima,134.0,140,0,Sem parada,85.2
13/06/2025,June 2025,Friday,M1,Torno CNC,Noite,Carlos Silva,165.0,160,0,Sem parada,77.4
04/03/2025,March 2025,Tuesday,M4,Injetora,Tarde,João Pereira,202.0,200,0,Sem parada,95.0
20/01/2025,January 2025,Monday,M1,Torno CNC,Tarde,Maria Lima,134.0,160,28,Falha mecânica,84.2
16/05/2025,May 2025,Friday,M4,Injetora,Manhã,Carlos Silva,216.0,200,19,Setup de máquina,99.9
10/01/2025,January 2025,Friday,M3,Prensa Hidráulica,Manhã,Carlos Silva,147.0,140,0,Sem parada,81.9
27/01/2025,January 2025,Monday,M1,Torno CNC,Manhã,Ana Souza,170.0,160,0,Sem parada,69.4
22/04/2025,April 2025,Tuesday,M3,Prensa Hidráulica,Tarde,João Pereira,126.0,140,49,Falha mecânica,86.2
17/01/2025,January 2025,Friday,M3,Prensa Hidráulica,Noite,Pedro Santos,149.0,140,0,Sem parada,90.9
29/05/2025,May 2025,Thursday,M5,Solda Robotica,Tarde,João Pereira,112.0,120,0,Sem parada,74.2
21/01/2025,January 2025,Tuesday,M1,Torno CNC,Noite,João Pereira,168.0,160,0,Sem parada,81.8
25/02/2025,February 2025,Tuesday,M3,Prensa Hidráulica,Noite,Ana Souza,128.0,140,0,Sem parada,88.9
23/01/2025,January 2025,Thursday,M3,Prensa Hidráulica,Tarde,Pedro Santos,157.0,140,0,Sem parada,92.7
03/04/2025,April 2025,Thursday,M2,Fresadora,Manhã,Ana Souza,190.0,180,0,Sem parada,87.6
05/05/2025,May 2025,Monday,M4,Injetora,Noite,Ana Souza,209.0,200,0,Sem parada,90.3
08/05/2025,May 2025,Thursday,M2,Fresadora,Manhã,Maria Lima,175.0,180,0,Sem parada,86.7
20/02/2025,February 2025,Thursday,M2,Fresadora,Tarde,João Pereira,176.0,180,0,Sem parada,84.0
20/03/2025,March 2025,Thursday,M2,Fresadora,Noite,João Pereira,188.0,180,0,Sem parada,82.6
05/06/2025,June 2025,Thursday,M1,Torno CNC,Noite,Carlos Silva,177.0,160,0,Sem parada,68.3
27/01/2025,January 2025,Monday,M2,Fresadora,Noite,Pedro Santos,181.0,180,0,Sem parada,84.2
07/04/2025,April 2025,Monday,M3,Prensa Hidráulica,Tarde,João Pereira,124.0,140,0,Sem parada,85.9
26/06/2025,June 2025,Thursday,M2,Fresadora,Tarde,Ana Souza,182.0,180,0,Sem parada,91.5
15/05/2025,May 2025,Thursday,M4,Injetora,Manhã,Pedro Santos,195.0,200,0,Sem parada,96.4
16/05/2025,May 2025,Friday,M1,Torno CNC,Tarde,Pedro Santos,150.0,160,0,Sem parada,78.8
24/06/2025,June 2025,Tuesday,M1,Torno CNC,Noite,Pedro Santos,152.0,160,0,Sem parada,117.9
06/05/2025,May 2025,Tuesday,M1,Torno CNC,Manhã,Pedro Santos,151.0,160,0,Sem parada,77.9
17/06/2025,June 2025,Tuesday,M3,Prensa Hidráulica,Tarde,Pedro Santos,140.0,140,0,Sem parada,83.5
13/02/2025,February 2025,Thursday,M3,Prensa Hidráulica,Manhã,Maria Lima,147.0,140,0,Sem parada,89.5
23/04/2025,April 2025,Wednesday,M1,Torno CNC,Tarde,João Pereira,153.0,160,0,Sem parada,73.6
12/02/2025,February 2025,Wednesday,M2,Fresadora,Manhã,Pedro Santos,160.0,180,0,Sem parada,88.7
24/06/2025,June 2025,Tuesday,M2,Fresadora,Manhã,João Pereira,187.0,180,0,Sem parada,90.3
07/01/2025,January 2025,Tuesday,M4,Injetora,Tarde,Maria Lima,203.0,200,0,Sem parada,101.5
18/06/2025,June 2025,Wednesday,M5,Solda Robotica,Tarde,Maria Lima,111.0,120,0,Sem parada,73.8
27/02/2025,February 2025,Thursday,M2,Fresadora,Manhã,Carlos Silva,204.0,180,0,Sem parada,82.2
03/04/2025,April 2025,Thursday,M4,Injetora,Tarde,Carlos Silva,189.0,200,0,Sem parada,94.3
09/05/2025,May 2025,Friday,M3,Prensa Hidráulica,Manhã,Ana Souza,138.0,140,0,Sem parada,82.3
10/06/2025,June 2025,Tuesday,M3,Prensa Hidráulica,Manhã,Carlos Silva,145.0,140,0,Sem parada,89.5
26/02/2025,February 2025,Wednesday,M5,Solda Robotica,Noite,Maria Lima,129.0,120,0,Sem parada,81.1
05/06/2025,June 2025,Thursday,M4,Injetora,Noite,Maria Lima,,200,0,Sem parada,95.4
24/04/2025,April 2025,Thursday,M5,Solda Robotica,Tarde,Maria Lima,114.0,120,-3,Sem parada,71.2
28/01/2025,January 2025,Tuesday,M5,Solda Robotica,Tarde,Maria Lima,117.0,120,0,Sem parada,65.1
07/01/2025,January 2025,Tuesday,M2,Fresadora,Noite,Ana Souza,157.0,180,0,Sem parada,85.3
02/04/2025,April 2025,Wednesday,M2,Fresadora,Manhã,Ana Souza,149.0,180,0,Sem parada,100.7
29/04/2025,April 2025,Tuesday,M1,Torno CNC,Noite,Ana Souza,171.0,160,0,Sem parada,77.4
27/02/2025,February 2025,Thursday,M2,Fresadora,Noite,Pedro Santos,174.0,180,0,Sem parada,84.0
13/01/2025,January 2025,Monday,M1,Torno CNC,Manhã,João Pereira,149.0,160,0,Sem parada,74.4
02/01/2025,January 2025,Thursday,M5,Solda Robotica,Noite,Carlos Silva,108.0,120,59,Falha mecânica,74.9
14/01/2025,January 2025,Tuesday,M1,Torno CNC,Manhã,Maria Lima,157.0,160,56,Falta de insumo,67.8
12/05/2025,May 2025,Monday,M2,Fresadora,Tarde,Carlos Silva,174.0,180,0,Sem parada,86.5
30/05/2025,May 2025,Friday,M4,Injetora,Tarde,Carlos Silva,193.0,200,0,Sem parada,84.9
22/05/2025,May 2025,Thursday,M1,Torno CNC,Tarde,Ana Souza,165.0,160,0,Sem parada,70.1
24/02/2025,February 2025,Monday,M1,Torno CNC,Manhã,Pedro Santos,156.0,160,0,Sem parada,81.9
24/06/2025,June 2025,Tuesday,M3,Prensa Hidráulica,Manhã,Ana Souza,117.0,140,0,Sem parada,90.7
29/05/2025,May 2025,Thursday,M4,Injetora,Noite,Ana Souza,203.0,200,0,Sem parada,101.4
31/01/2025,January 2025,Friday,M5,Solda Robotica,Manhã,Maria Lima,108.0,120,0,Sem parada,73.6
27/03/2025,March 2025,Thursday,M3,Prensa Hidráulica,Noite,Carlos Silva,154.0,140,0,Sem parada,85.7
30/01/2025,January 2025,Thursday,M4,Injetora,Manhã,Pedro Santos,196.0,200,0,Sem parada,98.5
13/05/2025,May 2025,Tuesday,M5,Solda Robotica,Noite,Pedro Santos,114.0,120,0,Sem parada,67.3
09/05/2025,May 2025,Friday,M4,Injetora,Noite,Maria Lima,180.0,200,0,Sem parada,89.8
25/02/2025,February 2025,Tuesday,M5,Solda Robotica,Noite,Carlos Silva,122.0,120,0,Sem parada,76.8
17/02/2025,February 2025,Monday,M5,Solda Robotica,Manhã,João Pereira,136.0,120,0,Sem parada,71.0
21/05/2025,May 2025,Wednesday,M3,Prensa Hidráulica,Manhã,Carlos Silva,125.0,140,0,Sem parada,83.0
01/05/2025,May 2025,Thursday,M4,Injetora,Noite,Ana Souza,189.0,200,0,Sem parada,89.1
25/03/2025,March 2025,Tuesday,M1,Torno CNC,Noite,João Pereira,150.0,160,0,Sem parada,68.4
23/05/2025,May 2025,Friday,M3,Prensa Hidráulica,Manhã,Pedro Santos,142.0,140,0,Sem parada,98.2
05/02/2025,February 2025,Wednesday,M3,Prensa Hidráulica,Tarde,Pedro Santos,152.0,140,0,Sem parada,86.5
07/03/2025,March 2025,Friday,M2,Fresadora,Noite,João Pereira,187.0,180,0,Sem parada,90.4
04/04/2025,April 2025,Friday,M2,Fresadora,Noite,Pedro Santos,180.0,180,0,Sem parada,86.4
22/05/2025,May 2025,Thursday,M2,Fresadora,Manhã,Maria Lima,175.0,180,0,Sem parada,85.9
28/02/2025,February 2025,Friday,M3,Prensa Hidráulica,Tarde,Pedro Santos,153.0,140,0,Sem parada,90.7
10/03/2025,March 2025,Monday,M1,Torno CNC,Tarde,Maria Lima,159.0,160,8,Falta de insumo,68.5
01/04/2025,April 2025,Tuesday,M1,Torno CNC,Noite,Pedro Santos,186.0,160,0,Sem parada,70.4
19/02/2025,February 2025,Wednesday,M4,Injetora,Manhã,João Pereira,192.0,200,0,Sem parada,96.7
11/06/2025,June 2025,Wednesday,M2,Fresadora,Tarde,João Pereira,180.0,180,0,Sem parada,79.1
14/05/2025,May 2025,Wednesday,M4,Injetora,Tarde,Carlos Silva,189.0,200,0,Sem parada,97.3
15/04/2025,April 2025,Tuesday,M1,Torno CNC,Tarde,Ana Souza,169.0,160,0,Sem parada,74.1
26/05/2025,May 2025,Monday,M5,Solda Robotica,Manhã,João Pereira,123.0,120,0,Sem parada,71.3
10/02/2025,February 2025,Monday,M3,Prensa Hidráulica,Manhã,Carlos Silva,132.0,140,0,Sem parada,95.9
12/05/2025,May 2025,Monday,M5,Solda Robotica,Manhã,Pedro Santos,137.0,120,0,Sem parada,74.1
25/06/2025,June 2025,Wednesday,M4,Injetora,Tarde,Maria Lima,216.0,200,0,Sem parada,92.5
10/01/2025,January 2025,Friday,M2,Fresadora,Tarde,Ana Souza,173.0,180,0,Sem parada,85.4
20/05/2025,May 2025,Tuesday,M2,Fresadora,Tarde,Maria Lima,187.0,180,0,Sem parada,86.0
29/04/2025,April 2025,Tuesday,M4,Injetora,Tarde,Ana Souza,188.0,200,0,Sem parada,88.7
12/05/2025,May 2025,Monday,M1,Torno CNC,Manhã,João Pereira,167.0,160,0,Sem parada,72.2
18/04/2025,April 2025,Friday,M4,Injetora,Tarde,Ana Souza,195.0,200,0,Sem parada,94.6
18/02/2025,February 2025,Tuesday,M3,Prensa Hidráulica,Noite,Maria Lima,126.0,140,0,Sem parada,82.7
13/01/2025,January 2025,Monday,M3,Prensa Hidráulica,Noite,João Pereira,154.0,140,0,Sem parada,86.5
26/05/2025,May 2025,Monday,M5,Solda Robotica,Noite,João Pereira,130.0,120,-4,Sem parada,78.3
25/04/2025,April 2025,Friday,M2,Fresadora,Manhã,Ana Souza,169.0,180,0,Sem parada,85.2
09/05/2025,May 2025,Friday,M3,Prensa Hidráulica,Tarde,João Pereira,134.0,140,0,Sem parada,88.6
17/02/2025,February 2025,Monday,M1,Torno CNC,Manhã,João Pereira,162.0,160,0,Sem parada,64.8
09/04/2025,April 2025,Wednesday,M5,Solda Robotica,Tarde,Ana Souza,108.0,120,0,Sem parada,75.6
02/06/2025,June 2025,Monday,M3,Prensa Hidráulica,Manhã,Ana Souza,147.0,140,0,Sem parada,95.3
13/06/2025,June 2025,Friday,M3,Prensa Hidráulica,Manhã,Pedro Santos,129.0,140,0,Sem parada,98.1
21/05/2025,May 2025,Wednesday,M5,Solda Robotica,Noite,Carlos Silva,115.0,120,0,Sem parada,70.2
22/01/2025,January 2025,Wednesday,M5,Solda Robotica,Manhã,Maria Lima,135.0,120,0,Sem parada,68.8
30/01/2025,January 2025,Thursday,M1,Torno CNC,Tarde,Maria Lima,157.0,160,0,Sem parada,72.9
26/06/2025,June 2025,Thursday,M4,Injetora,Noite,Ana Souza,180.0,200,0,Sem parada,95.8
03/02/2025,February 2025,Monday,M4,Injetora,Manhã,Maria Lima,166.0,200,0,Sem parada,103.5
10/02/2025,February 2025,Monday,M1,Torno CNC,Manhã,João Pereira,159.0,160,0,Sem parada,78.4
04/06/2025,June 2025,Wednesday,M3,Prensa Hidráulica,Tarde,João Pereira,135.0,140,0,Sem parada,92.1
04/02/2025,February 2025,Tuesday,M3,Prensa Hidráulica,Manhã,Ana Souza,144.0,140,0,Sem parada,81.5
12/02/2025,February 2025,Wednesday,M1,Torno CNC,Manhã,Carlos Silva,158.0,160,19,Falha mecânica,73.0
30/06/2025,June 2025,Monday,M2,Fresadora,Noite,Carlos Silva,172.0,180,0,Sem parada,87.5
14/05/2025,May 2025,Wednesday,M4,Injetora,Noite,Pedro Santos,166.0,200,0,Sem parada,92.1
27/02/2025,February 2025,Thursday,M5,Solda Robotica,Tarde,Carlos Silva,134.0,120,6,Falha mecânica,42.1
11/03/2025,March 2025,Tuesday,M1,Torno CNC,Tarde,Ana Souza,158.0,160,0,Sem parada,75.1
05/05/2025,May 2025,Monday,M5,Solda Robotica,Noite,Pedro Santos,,120,0,Sem parada,73.1
09/04/2025,April 2025,Wednesday,M2,Fresadora,Manhã,Ana Souza,167.0,180,0,Sem parada,88.2
03/02/2025,February 2025,Monday,M3,Prensa Hidráulica,Tarde,Ana Souza,122.0,140,0,Sem parada,93.0
14/05/2025,May 2025,Wednesday,M3,Prensa Hidráulica,Noite,Carlos Silva,130.0,140,0,Sem parada,85.6
27/03/2025,March 2025,Thursday,M1,Torno CNC,Tarde,Carlos Silva,172.0,160,0,Sem parada,76.4
06/05/2025,May 2025,Tuesday,M3,Prensa Hidráulica,Tarde,João Pereira,143.0,140,0,Sem parada,91.6
17/06/2025,June 2025,Tuesday,M5,Solda Robotica,Tarde,,110.0,120,0,Sem parada,75.0
22/01/2025,January 2025,Wednesday,M3,Prensa Hidráulica,Manhã,Carlos Silva,132.0,140,0,Sem parada,91.1
25/04/2025,April 2025,Friday,M1,Torno CNC,Tarde,Pedro Santos,166.0,160,0,Sem parada,68.8
23/06/2025,June 2025,Monday,M4,Injetora,Tarde,Ana Souza,177.0,200,0,Sem parada,88.4
29/01/2025,January 2025,Wednesday,M2,Fresadora,Noite,Ana Souza,189.0,180,0,Sem parada,84.7
23/04/2025,April 2025,Wednesday,M3,Prensa Hidráulica,Noite,Pedro Santos,146.0,140,0,Sem parada,91.7
05/03/2025,March 2025,Wednesday,M2,Fresadora,Manhã,Pedro Santos,172.0,180,0,Sem parada,87.0
08/05/2025,May 2025,Thursday,M5,Solda Robotica,Noite,João Pereira,109.0,120,0,Sem parada,73.1
02/01/2025,January 2025,Thursday,M3,Prensa Hidráulica,Noite,Carlos Silva,134.0,140,0,Sem parada,95.3
12/02/2025,February 2025,Wednesday,M5,Solda Robotica,Manhã,Pedro Santos,131.0,120,0,Sem parada,62.4
07/01/2025,January 2025,Tuesday,M2,Fresadora,Manhã,Maria Lima,165.0,180,0,Sem parada,82.2
10/02/2025,February 2025,Monday,M3,Prensa Hidráulica,Tarde,Carlos Silva,155.0,140,0,Sem parada,87.1
20/02/2025,February 2025,Thursday,M2,Fresadora,Manhã,,192.0,180,5,Falha mecânica,86.2
21/03/2025,March 2025,Friday,M4,Injetora,Tarde,João Pereira,196.0,200,0,Sem parada,93.3
10/03/2025,March 2025,Monday,M5,Solda Robotica,Tarde,João Pereira,136.0,120,0,Sem parada,72.0
26/05/2025,May 2025,Monday,M2,Fresadora,Manhã,Pedro Santos,195.0,180,0,Sem parada,127.9
28/01/2025,January 2025,Tuesday,M2,Fresadora,Tarde,Maria Lima,158.0,180,0,Sem parada,90.7
28/03/2025,March 2025,Friday,M5,Solda Robotica,Tarde,Maria Lima,112.0,120,0,Sem parada,72.1
09/06/2025,June 2025,Monday,M5,Solda Robotica,Manhã,João Pereira,114.0,120,0,Sem parada,69.3
09/01/2025,January 2025,Thursday,M4,Injetora,Tarde,Ana Souza,205.0,200,0,Sem parada,97.8
24/04/2025,April 2025,Thursday,M5,Solda Robotica,Noite,Pedro Santos,124.0,120,0,Sem parada,72.4
24/06/2025,June 2025,Tuesday,M5,Solda Robotica,Noite,Ana Souza,133.0,120,0,Sem parada,62.6
19/02/2025,February 2025,Wednesday,M4,Injetora,Tarde,Pedro Santos,199.0,200,0,Sem parada,97.4
04/04/2025,April 2025,Friday,M2,Fresadora,Tarde,Carlos Silva,189.0,180,0,Sem parada,78.8
29/01/2025,January 2025,Wednesday,M2,Fresadora,Manhã,Pedro Santos,168.0,180,0,Sem parada,78.8
30/04/2025,April 2025,Wednesday,M4,Injetora,Tarde,Maria Lima,200.0,200,0,Sem parada,87.8
19/02/2025,February 2025,Wednesday,M1,Torno CNC,Noite,Ana Souza,139.0,160,43,Manutenção preventiva,71.6
06/03/2025,March 2025,Thursday,M2,Fresadora,Tarde,Pedro Santos,180.0,180,0,Sem parada,81.2
02/04/2025,April 2025,Wednesday,M3,Prensa Hidráulica,Tarde,Carlos Silva,146.0,140,0,Sem parada,90.4
21/05/2025,May 2025,Wednesday,M2,Fresadora,Noite,Maria Lima,178.0,180,0,Sem parada,91.6
05/03/2025,March 2025,Wednesday,M2,Fresadora,Tarde,Pedro Santos,158.0,180,0,Sem parada,85.9
10/01/2025,January 2025,Friday,M4,Injetora,Tarde,Ana Souza,188.0,200,0,Sem parada,96.1
16/05/2025,May 2025,Friday,M1,Torno CNC,Noite,João Pereira,168.0,160,0,Sem parada,84.2
15/05/2025,May 2025,Thursday,M2,Fresadora,Tarde,Carlos Silva,174.0,180,0,Sem parada,86.9
03/04/2025,April 2025,Thursday,M5,Solda Robotica,Noite,Maria Lima,126.0,120,0,Sem parada,74.7
26/02/2025,February 2025,Wednesday,M4,Injetora,Tarde,Pedro Santos,180.0,200,0,Sem parada,96.5
11/02/2025,February 2025,Tuesday,M2,Fresadora,Manhã,Carlos Silva,172.0,180,0,Sem parada,86.1
02/06/2025,June 2025,Monday,M5,Solda Robotica,Manhã,Ana Souza,126.0,120,0,Sem parada,79.7
30/04/2025,April 2025,Wednesday,M2,Fresadora,Noite,João Pereira,165.0,180,0,Sem parada,85.4
04/02/2025,February 2025,Tuesday,M5,Solda Robotica,Noite,João Pereira,114.0,120,0,Sem parada,63.0
06/05/2025,May 2025,Tuesday,M3,Prensa Hidráulica,Manhã,Pedro Santos,136.0,140,0,Sem parada,93.7
23/06/2025,June 2025,Monday,M2,Fresadora,Tarde,Carlos Silva,193.0,180,0,Sem parada,83.9
16/01/2025,January 2025,Thursday,M3,Prensa Hidráulica,Noite,Ana Souza,123.0,140,0,Sem parada,83.0
14/02/2025,February 2025,Friday,M2,Fresadora,Manhã,Ana Souza,170.0,180,0,Sem parada,94.0
24/04/2025,April 2025,Thursday,M2,Fresadora,Noite,Maria Lima,205.0,180,0,Sem parada,91.9
01/04/2025,April 2025,Tuesday,M3,Prensa Hidráulica,Manhã,Ana Souza,134.0,140,0,Sem parada,89.5
26/02/2025,February 2025,Wednesday,M4,Injetora,Noite,Ana Souza,210.0,200,0,Sem parada,97.1
18/02/2025,February 2025,Tuesday,M2,Fresadora,Tarde,Ana Souza,188.0,180,0,Sem parada,79.9
03/04/2025,April 2025,Thursday,M2,Fresadora,Tarde,Pedro Santos,162.0,180,23,Falha mecânica,87.2
30/05/2025,May 2025,Friday,M5,Solda Robotica,Manhã,João Pereira,107.0,120,0,Sem parada,70.9
03/01/2025,January 2025,Friday,M1,Torno CNC,Noite,Carlos Silva,170.0,160,0,Sem parada,81.8
16/06/2025,June 2025,Monday,M1,Torno CNC,Tarde,Maria Lima,,160,0,Sem parada,69.6
07/03/2025,March 2025,Friday,M3,Prensa Hidráulica,Tarde,Maria Lima,128.0,140,0,Sem parada,80.2
23/04/2025,April 2025,Wednesday,M1,Torno CNC,Noite,Maria Lima,181.0,160,0,Sem parada,81.7
02/04/2025,April 2025,Wednesday,M4,Injetora,Noite,Maria Lima,210.0,200,0,Sem parada,96.0
13/01/2025,January 2025,Monday,M2,Fresadora,Tarde,Ana Souza,205.0,180,0,Sem parada,87.0
07/03/2025,March 2025,Friday,M1,Torno CNC,Manhã,Carlos Silva,177.0,160,-4,Sem parada,77.8
15/01/2025,January 2025,Wednesday,M5,Solda Robotica,Tarde,Carlos Silva,131.0,120,0,Sem parada,74.0
20/01/2025,January 2025,Monday,M3,Prensa Hidráulica,Noite,Carlos Silva,128.0,140,0,Sem parada,89.3
28/03/2025,March 2025,Friday,M5,Solda Robotica,Manhã,Carlos Silva,119.0,120,0,Sem parada,71.4
16/06/2025,June 2025,Monday,M5,Solda Robotica,Noite,Ana Souza,122.0,120,0,Sem parada,74.5
18/04/2025,April 2025,Friday,M2,Fresadora,Tarde,Pedro Santos,171.0,180,0,Sem parada,79.5
09/05/2025,May 2025,Friday,M5,Solda Robotica,Manhã,Pedro Santos,115.0,120,0,Sem parada,68.2
06/01/2025,January 2025,Monday,M2,Fresadora,Tarde,João Pereira,180.0,180,0,Sem parada,83.8
10/02/2025,February 2025,Monday,M5,Solda Robotica,Manhã,Maria Lima,114.0,120,0,Sem parada,68.1
30/06/2025,June 2025,Monday,M1,Torno CNC,Noite,Carlos Silva,180.0,160,0,Sem parada,79.1
17/03/2025,March 2025,Monday,M5,Solda Robotica,Manhã,Carlos Silva,118.0,120,0,Sem parada,86.0
24/06/2025,June 2025,Tuesday,M4,Injetora,Tarde,Pedro Santos,188.0,200,0,Sem parada,97.6
27/05/2025,May 2025,Tuesday,M3,Prensa Hidráulica,Noite,João Pereira,150.0,140,0,Sem parada,84.9
11/04/2025,April 2025,Friday,M4,Injetora,Manhã,Ana Souza,232.0,200,0,Sem parada,95.0
08/04/2025,April 2025,Tuesday,M5,Solda Robotica,Manhã,Maria Lima,129.0,120,0,Sem parada,69.6
16/05/2025,May 2025,Friday,M4,Injetora,Tarde,Pedro Santos,213.0,200,0,Sem parada,92.7
02/06/2025,June 2025,Monday,M1,Torno CNC,Noite,João Pereira,157.0,160,0,Sem parada,78.9
07/05/2025,May 2025,Wednesday,M4,Injetora,Manhã,João Pereira,190.0,200,0,Sem parada,95.6
06/03/2025,March 2025,Thursday,M2,Fresadora,Manhã,Carlos Silva,198.0,180,0,Sem parada,92.8
21/01/2025,January 2025,Tuesday,M3,Prensa Hidráulica,Noite,Maria Lima,154.0,140,12,Falta de insumo,83.1
14/02/2025,February 2025,Friday,M5,Solda Robotica,Noite,Ana Souza,117.0,120,0,Sem parada,70.1
07/02/2025,February 2025,Friday,M4,Injetora,Noite,Pedro Santos,183.0,200,0,Sem parada,91.2
17/04/2025,April 2025,Thursday,M3,Prensa Hidráulica,Manhã,Carlos Silva,140.0,140,0,Sem parada,86.0
17/03/2025,March 2025,Monday,M2,Fresadora,Manhã,Pedro Santos,188.0,180,0,Sem parada,95.3
26/06/2025,June 2025,Thursday,M4,Injetora,Tarde,João Pereira,177.0,200,0,Sem parada,87.0
21/01/2025,January 2025,Tuesday,M4,Injetora,Tarde,João Pereira,206.0,200,0,Sem parada,94.8
29/01/2025,January 2025,Wednesday,M3,Prensa Hidráulica,Manhã,João Pereira,143.0,140,0,Sem parada,84.4
06/06/2025,June 2025,Friday,M5,Solda Robotica,Manhã,Ana Souza,130.0,120,0,Sem parada,67.2
08/01/2025,January 2025,Wednesday,M2,Fresadora,Manhã,Ana Souza,206.0,180,0,Sem parada,87.4
06/01/2025,January 2025,Monday,M5,Solda Robotica,Noite,Carlos Silva,130.0,120,0,Sem parada,73.8
22/04/2025,April 2025,Tuesday,M3,Prensa Hidráulica,Noite,Ana Souza,137.0,140,0,Sem parada,85.4
04/02/2025,February 2025,Tuesday,M1,Torno CNC,Tarde,João Pereira,142.0,160,0,Sem parada,78.7
24/02/2025,February 2025,Monday,M2,Fresadora,Noite,,165.0,180,0,Sem parada,74.2
26/03/2025,March 2025,Wednesday,M4,Injetora,Tarde,Ana Souza,197.0,200,0,Sem parada,95.4
24/01/2025,January 2025,Friday,M1,Torno CNC,Tarde,Maria Lima,156.0,160,0,Sem parada,70.5
